"Ticker","CIK","ADSH","INCOMETAXESPAID","DDATE","SIC.x","PERIOD","FP","FY","Name","Exchange","SIC.y","Business","Incorporated","IRS","Market Cap","Enterprise Value","Trailing P/E","Forward P/E","PEG Ratio","Price/Sales","Price/Book","Enterprise Value/Revenue","Enterprise Value/EBITDA","Fiscal Year Ends","Most Recent Quarter","Profit Margin","Operating Margin","Return on Assets","Return on Equity","Revenue","Revenue Per Share","Qtrly Revenue Growth","Gross Profit","EBITDA","Net Income Avl to Common","Diluted EPS","Qtrly Earnings Growth","Total Cash","Total Cash Per Share","Total Debt","Total Debt/Equity","Current Ratio","Book Value Per Share","Operating Cash Flow","Levered Free Cash Flow","Beta","52-Week Change","S&P500 52-Week Change","52-Week High","52-Week Low","50-Day Moving Average","200-Day Moving Average","Avg Vol","Avg Vol 1","Shares Outstanding","Float","% Held by Insiders","% Held by Institutions","Shares Short","Short Ratio","Short % of Float","Shares Short 2","Forward Annual Dividend Rate","Forward Annual Dividend Yield","Trailing Annual Dividend Yield","Trailing Annual Dividend Yield 3","5 Year Average Dividend Yield","Payout Ratio","Dividend Date","Ex-Dividend Date","Last Split Factor","Last Split Date","mc","taxes","tmratio"
"AAN","706688","0000706688-15-000089","54027000","20131231","7359","20141231","FY","2014","Aarons Inc","NYSE",7359,"GA","GA",580687630,"1.60B","2.03B","11.81","9.32","0.85","0.50","1.17","0.65","4.61","Dec 31","Sep 30, 2015","4.34%","11.71%","9.93%","10.70%","3.14B","43.25","9.90%","1.11B","440.77M","136.08M","1.87","160.30%","66.91M","0.92","494.16M","36.78","0.75","18.51","173.01M","1.43B","-0.02","-28.54%","-11.22%","40.80","20.24","21.98","30.05","858,403","821,712","72.59M","63.58M","15.90%","82.30%","2.43M","2.58","5.31%","3.30M","0.10","0.46%","0.09","0.40%","0.25%","4.93%","Jan 4, 2016","Nov 27, 2015","3:2","Apr 16, 2010",1.6e+09,54027000,0.033766875
"AAN","706688","0000706688-15-000089","187709000","20141231","7359","20141231","FY","2014","Aarons Inc","NYSE",7359,"GA","GA",580687630,"1.60B","2.03B","11.81","9.32","0.85","0.50","1.17","0.65","4.61","Dec 31","Sep 30, 2015","4.34%","11.71%","9.93%","10.70%","3.14B","43.25","9.90%","1.11B","440.77M","136.08M","1.87","160.30%","66.91M","0.92","494.16M","36.78","0.75","18.51","173.01M","1.43B","-0.02","-28.54%","-11.22%","40.80","20.24","21.98","30.05","858,403","821,712","72.59M","63.58M","15.90%","82.30%","2.43M","2.58","5.31%","3.30M","0.10","0.46%","0.09","0.40%","0.25%","4.93%","Jan 4, 2016","Nov 27, 2015","3:2","Apr 16, 2010",1.6e+09,187709000,0.117318125
"AAN","706688","0000706688-15-000089","145370000","20121231","7359","20141231","FY","2014","Aarons Inc","NYSE",7359,"GA","GA",580687630,"1.60B","2.03B","11.81","9.32","0.85","0.50","1.17","0.65","4.61","Dec 31","Sep 30, 2015","4.34%","11.71%","9.93%","10.70%","3.14B","43.25","9.90%","1.11B","440.77M","136.08M","1.87","160.30%","66.91M","0.92","494.16M","36.78","0.75","18.51","173.01M","1.43B","-0.02","-28.54%","-11.22%","40.80","20.24","21.98","30.05","858,403","821,712","72.59M","63.58M","15.90%","82.30%","2.43M","2.58","5.31%","3.30M","0.10","0.46%","0.09","0.40%","0.25%","4.93%","Jan 4, 2016","Nov 27, 2015","3:2","Apr 16, 2010",1.6e+09,145370000,0.09085625
"AB","825313","0001140361-15-005663","19981000","20131231","6282","20141231","FY","2014","Alliancebernstein Holding LP","NYSE",6282,"NY","DE",133434400,"1.69B","1.73B","9.16","8.83","1.62","7.97","1.06","8.15","N/A","Dec 31","Dec 31, 2015","88.56%","100.00%","8.26%","11.70%","212.50M","2.14","-9.60%","N/A","N/A","188.18M","1.89","-10.40%","N/A","N/A","0.00","N/A","N/A","15.89","192.79M","N/A","1.40","-36.48%","-11.22%","32.74","16.11","19.94","24.58","333,634","303,312","97.67M","92.17M","5.76%","30.10%","533.44K","1.73","0.71%","592.38K","2.00","11.82%","1.93","11.40%","7.09%","101.12%","Mar 10, 2016","Oct 29, 2015","2:1","Apr 3, 1998",1.69e+09,19981000,0.0118230769230769
"AB","825313","0001140361-15-005663","23009000","20141231","6282","20141231","FY","2014","Alliancebernstein Holding LP","NYSE",6282,"NY","DE",133434400,"1.69B","1.73B","9.16","8.83","1.62","7.97","1.06","8.15","N/A","Dec 31","Dec 31, 2015","88.56%","100.00%","8.26%","11.70%","212.50M","2.14","-9.60%","N/A","N/A","188.18M","1.89","-10.40%","N/A","N/A","0.00","N/A","N/A","15.89","192.79M","N/A","1.40","-36.48%","-11.22%","32.74","16.11","19.94","24.58","333,634","303,312","97.67M","92.17M","5.76%","30.10%","533.44K","1.73","0.71%","592.38K","2.00","11.82%","1.93","11.40%","7.09%","101.12%","Mar 10, 2016","Oct 29, 2015","2:1","Apr 3, 1998",1.69e+09,23009000,0.0136147928994083
"AB","825313","0001140361-15-005663","24606000","20121231","6282","20141231","FY","2014","Alliancebernstein Holding LP","NYSE",6282,"NY","DE",133434400,"1.69B","1.73B","9.16","8.83","1.62","7.97","1.06","8.15","N/A","Dec 31","Dec 31, 2015","88.56%","100.00%","8.26%","11.70%","212.50M","2.14","-9.60%","N/A","N/A","188.18M","1.89","-10.40%","N/A","N/A","0.00","N/A","N/A","15.89","192.79M","N/A","1.40","-36.48%","-11.22%","32.74","16.11","19.94","24.58","333,634","303,312","97.67M","92.17M","5.76%","30.10%","533.44K","1.73","0.71%","592.38K","2.00","11.82%","1.93","11.40%","7.09%","101.12%","Mar 10, 2016","Oct 29, 2015","2:1","Apr 3, 1998",1.69e+09,24606000,0.0145597633136095
"ABBV","1551152","0001047469-15-000995","1.305e+09","20131231","2834","20141231","FY","2014","Abbvie Inc","NYSE",2834,"IL","DE",320375147,"85.96B","108.78B","16.80","8.82","0.57","3.73","17.54","4.76","11.58","Dec 31","Dec 31, 2015","22.50%","37.75%","N/A","155.76%","22.86B","13.96","17.40%","15.53B","9.40B","5.14B","3.13","N/A","9.31B","5.70","32.13B","660.77","N/A","2.98","N/A","N/A","1.60","-10.46%","-11.22%","71.60","45.45","55.98","59.10","8,969,840","10,609,600","1.63B","1.63B","0.10%","73.60%","27.54M","2.59","1.73%","24.45M","2.28","4.32%","2.10","4.00%","N/A","111.64%","Feb 16, 2016","Jan 13, 2016","N/A","N/A",8.596e+10,1.305e+09,0.015181479758027
"ABBV","1551152","0001047469-15-000995","4.98e+08","20141231","2834","20141231","FY","2014","Abbvie Inc","NYSE",2834,"IL","DE",320375147,"85.96B","108.78B","16.80","8.82","0.57","3.73","17.54","4.76","11.58","Dec 31","Dec 31, 2015","22.50%","37.75%","N/A","155.76%","22.86B","13.96","17.40%","15.53B","9.40B","5.14B","3.13","N/A","9.31B","5.70","32.13B","660.77","N/A","2.98","N/A","N/A","1.60","-10.46%","-11.22%","71.60","45.45","55.98","59.10","8,969,840","10,609,600","1.63B","1.63B","0.10%","73.60%","27.54M","2.59","1.73%","24.45M","2.28","4.32%","2.10","4.00%","N/A","111.64%","Feb 16, 2016","Jan 13, 2016","N/A","N/A",8.596e+10,4.98e+08,0.00579339227547697
"ABT","1800","0001047469-15-001377","1.039e+09","20131231","2834","20141231","FY","2014","Abbott Laboratories","NYSE",2834,"IL","IL",360698440,"55.39B","57.60B","12.69","15.41","1.81","2.66","2.57","2.82","11.98","Dec 31","Dec 31, 2015","21.68%","16.56%","N/A","12.16%","20.40B","13.55","-1.90%","11.03B","4.81B","2.61B","2.93","-15.20%","6.14B","4.12","8.36B","39.38","N/A","14.15","N/A","N/A","1.51","-20.00%","-11.22%","51.74","36.00","40.16","43.79","7,089,460","7,038,240","1.49B","1.49B","0.21%","70.50%","16.91M","1.94","1.15%","16.45M","1.04","2.86%","0.98","2.70%","2.72%","55.86%","Feb 16, 2016","Jan 13, 2016","10000:4798","Jan 2, 2013",5.539e+10,1.039e+09,0.0187578985376422
"ABT","1800","0001047469-15-001377","1.367e+09","20121231","2834","20141231","FY","2014","Abbott Laboratories","NYSE",2834,"IL","IL",360698440,"55.39B","57.60B","12.69","15.41","1.81","2.66","2.57","2.82","11.98","Dec 31","Dec 31, 2015","21.68%","16.56%","N/A","12.16%","20.40B","13.55","-1.90%","11.03B","4.81B","2.61B","2.93","-15.20%","6.14B","4.12","8.36B","39.38","N/A","14.15","N/A","N/A","1.51","-20.00%","-11.22%","51.74","36.00","40.16","43.79","7,089,460","7,038,240","1.49B","1.49B","0.21%","70.50%","16.91M","1.94","1.15%","16.45M","1.04","2.86%","0.98","2.70%","2.72%","55.86%","Feb 16, 2016","Jan 13, 2016","10000:4798","Jan 2, 2013",5.539e+10,1.367e+09,0.0246795450442318
